iter	Passed	Remaining
404	9184	13492
405	9204	13466
406	9227	13444
407	9248	13419
408	9270	13395
409	9293	13373
410	9319	13355
411	9341	13332
412	9362	13306
413	9382	13280
414	9403	13255
415	9425	13232
416	9455	13219
417	9486	13208
418	9510	13188
419	9537	13171
420	9558	13145
421	9578	13119
422	9598	13093
423	9620	13069
424	9641	13043
425	9663	13020
426	9686	12998
427	9707	12973
428	9729	12949
429	9752	12927
430	9774	12903
431	9796	12880
432	9819	12858
433	9840	12833
434	9863	12810
435	9885	12787
436	9908	12766
437	9931	12742
438	9955	12722
439	9978	12699
440	9997	12672
441	10019	12649
442	10041	12625
443	10063	12602
444	10085	12577
445	10108	12556
446	10131	12534
447	10156	12514
448	10179	12491
449	10202	12469
450	10222	12443
451	10246	12423
452	10269	12401
453	10291	12376
454	10313	12353
455	10335	12330
456	10363	12313
457	10386	12291
458	10410	12270
459	10432	12246
460	10454	12222
461	10474	12197
462	10494	12171
463	10517	12149
464	10541	12128
465	10564	12106
466	10584	12080
467	10606	12056
468	10626	12031
469	10649	12009
470	10671	11985
471	10692	11961
472	10714	11937
473	10735	11913
474	10757	11889
475	10782	11870
476	10804	11846
477	10828	11825
478	10849	11800
479	10871	11776
480	10893	11754
481	10914	11729
482	10938	11708
483	10961	11685
484	10984	11664
485	11008	11642
486	11030	11619
487	11056	11599
488	11077	11575
489	11099	11552
490	11121	11529
491	11145	11508
492	11169	11486
493	11191	11463
494	11211	11438
495	11231	11412
496	11251	11387
497	11273	11363
498	11294	11340
499	11318	11318
500	11341	11296
501	11364	11273
502	11387	11251
503	11413	11232
504	11434	11208
505	11455	11183
506	11476	11159
507	11499	11136
508	11519	11112
509	11540	11087
510	11561	11063
511	11583	11040
512	11601	11013
513	11625	10991
514	11647	10968
515	11669	10945
516	11692	10923
517	11712	10898
518	11731	10872
519	11754	10850
520	11777	10827
521	11801	10806
522	11822	10782
523	11843	10758
524	11868	10737
525	11892	10716
526	11912	10692
527	11934	10668
528	11955	10644
529	11978	10622
530	12003	10602
531	12023	10577
532	12046	10554
533	12070	10533
534	12093	10511
535	12118	10490
536	12140	10467
537	12160	10442
538	12180	10418
539	12201	10393
540	12221	10369
541	12241	10343
542	12261	10319
543	12282	10295
544	12302	10270
545	12322	10246
546	12342	10221
547	12362	10196
548	12384	10173
549	12406	10150
550	12428	10127
551	12450	10104
552	12473	10082
553	12494	10058
554	12517	10036
555	12539	10013
556	12560	9989
557	12580	9965
558	12600	9940
559	12621	9917
560	12642	9893
561	12662	9868
562	12684	9845
563	12704	9820
564	12724	9797
565	12745	9773
566	12766	9749
567	12785	9724
568	12807	9701
569	12830	9678
570	12852	9655
571	12873	9632
572	12896	9610
573	12917	9586
574	12938	9563
575	12959	9539
576	12981	9516
577	13004	9494
578	13024	9470
579	13045	9446
580	13065	9422
581	13085	9398
582	13111	9378
583	13134	9356
584	13156	9333
585	13177	9309
586	13197	9285
587	13219	9262
588	13241	9240
589	13264	9217
590	13285	9194
591	13309	9172
